Subject,band,pair_label,n_trials,accuracy_pct,same_accuracy_pct,different_accuracy_pct
P76,High,10–26,36,77.77777777777779,91.66666666666666,70.83333333333334
P76,High,15–26,36,69.44444444444444,91.66666666666666,58.333333333333336
P76,High,26–60,36,83.33333333333334,100.0,75.0
P77,High,10–26,36,61.111111111111114,75.0,54.166666666666664
P77,High,15–26,36,50.0,66.66666666666666,41.66666666666667
P77,High,26–60,36,86.11111111111111,83.33333333333334,87.5
P78,High,10–26,36,61.111111111111114,58.333333333333336,62.5
P78,High,15–26,36,47.22222222222222,75.0,33.33333333333333
P78,High,26–60,36,88.88888888888889,100.0,83.33333333333334
P79,High,10–26,36,63.888888888888886,91.66666666666666,50.0
P79,High,15–26,36,63.888888888888886,100.0,45.83333333333333
P79,High,26–60,36,83.33333333333334,83.33333333333334,83.33333333333334
P80,High,10–26,36,80.55555555555556,75.0,83.33333333333334
P80,High,15–26,36,50.0,83.33333333333334,33.33333333333333
P80,High,26–60,36,83.33333333333334,75.0,87.5
P81,High,10–26,36,77.77777777777779,75.0,79.16666666666666
P81,High,15–26,36,55.55555555555556,83.33333333333334,41.66666666666667
P81,High,26–60,36,80.55555555555556,75.0,83.33333333333334
P87,High,10–26,36,72.22222222222221,83.33333333333334,66.66666666666666
P87,High,15–26,36,50.0,91.66666666666666,29.166666666666668
P87,High,26–60,36,86.11111111111111,75.0,91.66666666666666
